,Value
2025-01-24,266507.24665374495
2025-01-27,266726.10207291704
2025-01-28,267313.07623663644
2025-01-29,267189.9213114987
2025-01-30,269761.0297329562
2025-01-31,269855.4550452383
2025-02-01,272409.22084911156
2025-02-03,273309.62542283017
2025-02-04,274561.1074947279
2025-02-05,274193.9732261464
2025-02-06,271600.2686097166
2025-02-07,271735.87987179676
2025-02-10,272637.0388081736
2025-02-11,273110.26042121975
2025-02-12,272366.3509306715
2025-02-13,272835.19294075994
2025-02-14,273281.3307686866
2025-02-17,273792.2283917052
2025-02-18,273803.3474404688
2025-02-19,274191.35926374025
2025-02-20,274029.7337875184
2025-02-21,273766.2873802431
2025-02-24,273323.6685764854
2025-02-25,273290.5566036216
2025-02-27,273817.5176913945
2025-02-28,274895.87107801985
2025-03-03,274921.3620710186
2025-03-04,274632.5714815632
2025-03-05,274277.51650287886
2025-03-06,273820.49651207495
2025-03-07,273429.2782425023
2025-03-10,274356.9090137132
2025-03-11,274881.61005282414
2025-03-12,274985.2325523234
2025-03-13,274771.02350099105
2025-03-17,274875.29475061357
2025-03-18,273775.7935716111
2025-03-19,274868.49711626844
2025-03-20,274670.6362367023
2025-03-21,274011.5115327495
2025-03-24,276010.1204509148
2025-03-25,274333.2811142062
2025-03-26,273083.48116698104
2025-03-27,275387.00931565603
2025-03-28,274859.7735912381
2025-04-01,272033.2002615621
